"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state"
"2011",34.93,0.153062001127703,28.46,42.02,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","46 States"
"2011",26.01,0.144907324231865,20.93,31.84,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","46 States"
"2011",9.52,0.0836395509854217,8.2,11.03,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","46 States"
"2011",28.91,0.144361742274723,23.46,35.05,"Black","Bisexual","Male","Black-Male","Bisexual-Male","46 States"
"2011",24.81,0.148361064079172,19.79,30.62,"Black","Homosexual","Male","Black-Male","Homosexual-Male","46 States"
"2011",18.88,0.146955490033455,14.86,23.69,"Black","Othersexual","Male","Black-Male","Othersexual-Male","46 States"
"2011",12.87,0.0770961131174959,11.27,14.66,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","46 States"
"2011",36.84,0.12596798969155,31.3,42.75,"Black","Bisexual","Female","Black-Female","Bisexual-Female","46 States"
"2011",34.77,0.14671521811445,28.56,41.54,"Black","Homosexual","Female","Black-Female","Homosexual-Female","46 States"
"2011",27.74,0.139748449765427,22.59,33.55,"Black","Othersexual","Female","Black-Female","Othersexual-Female","46 States"
"2011",10.27,0.069220679019666,9.09,11.59,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","46 States"
"2011",34.89,0.138714312850252,28.99,41.29,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","46 States"
"2011",30.89,0.136572962169572,25.49,36.88,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","46 States"
"2011",23.19,0.136960566360136,18.75,28.31,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","46 States"
"2011",17.25,0.0574676700595703,15.7,18.92,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","46 States"
"2011",45.13,0.103056794782607,40.19,50.16,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","46 States"
"2011",39.82,0.138815501896842,33.51,46.48,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","46 States"
"2011",30.75,0.128571180877572,25.66,36.36,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","46 States"
"2011",12.93,0.0912302705987721,11.05,15.09,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","46 States"
"2011",38.65,0.14518736220425,32.16,45.58,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","46 States"
"2011",33.73,0.151851248377448,27.43,40.66,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","46 States"
