"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Level"
"2007",42.6814908103381,0.161207724734836,35.1872264959089,50.5275578270103,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","1:Lowest",0
"2007",37.5287195732127,0.168125695612915,30.1719996286928,45.5101235462867,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","1:Lowest",0
"2007",29.746322002887,0.16630254859185,23.4090867470897,36.9710222234062,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","1:Lowest",0
"2007",8.1106279333931,0.159226391993222,6.0683076666397,10.7615530158462,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","1:Lowest",0
"2007",29.9739102222027,0.168382775624355,23.5310362333083,37.3199222832083,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","1:Lowest",0
"2007",24.6977162535672,0.169193056347059,19.0554380088524,31.3633338280523,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","1:Lowest",0
"2007",18.7465769859943,0.168844146488231,14.215685336695,24.3122988963803,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","1:Lowest",0
"2007",12.7423272297214,0.159408176389447,9.65316210320014,16.6380197785839,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","1:Lowest",0
"2007",40.4902977304808,0.167344088268844,32.8921860628633,48.5731726598512,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","1:Lowest",0
"2007",34.9260782470164,0.169405498570881,27.8017110490692,42.7939866472667,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","1:Lowest",0
"2007",26.8954233534007,0.168379042578262,20.9167355463687,33.8515207352388,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","1:Lowest",0
"2009",8.9914656397732,0.0489454928607696,8.23672897074871,9.80796757283263,"White","Heterosexual","Male","White-Male","Heterosexual-Male","1:Lowest",0
"2009",34.0511342084987,0.135062931892363,28.3790827442165,40.2202143670334,"White","Bisexual","Male","White-Male","Bisexual-Male","1:Lowest",0
"2009",25.442893291853,0.138051752055592,20.6573379050378,30.9052550817099,"White","Homosexual","Male","White-Male","Homosexual-Male","1:Lowest",0
